LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.7 on Mon Apr 17 08:52:13 +0400 2023
 600 atoms
 400 bonds
 200 angles
 0 dihedrals
 0 impropers
 2 atom types
 1 bond types
 1 angle types
 0 dihedral types
 0 improper types
 0.023000 34.023000  xlo xhi
 0.010001 34.510001  ylo yhi
 -1.000000 19.00500  zlo zhi

# Pair Coeffs
#
# 1  H
# 2  O

# Bond Coeffs
#
# 1  H-O

# Angle Coeffs
#
# 1  H-O-H

 Masses

 1 1.008000 # H
 2 15.999000 # O

 Atoms # full

1 1 2 0.000000 2.518000 17.572001 10.929000 # O HOH
2 1 1 0.000000 2.927000 18.132000 10.209000 # H HOH
3 1 1 0.000000 2.793000 16.618999 10.807000 # H HOH
4 2 2 0.000000 7.021000 0.875000 4.999000 # O HOH
5 2 1 0.000000 6.110000 0.478000 5.105000 # H HOH
6 2 1 0.000000 7.704000 0.144000 4.992000 # H HOH
7 3 2 0.000000 17.039000 13.299000 10.455000 # O HOH
8 3 1 0.000000 16.672001 14.224000 10.370000 # H HOH
9 3 1 0.000000 16.285000 12.643000 10.504000 # H HOH
10 4 2 0.000000 24.511999 24.737000 2.101000 # O HOH
11 4 1 0.000000 25.441999 25.063000 1.933000 # H HOH
12 4 1 0.000000 24.478001 23.745001 1.978000 # H HOH
13 5 2 0.000000 18.715000 6.495000 15.043000 # O HOH
14 5 1 0.000000 19.124001 5.729000 15.538000 # H HOH
15 5 1 0.000000 18.712000 6.296000 14.062000 # H HOH
16 6 2 0.000000 13.405000 22.398001 9.459000 # O HOH
17 6 1 0.000000 13.686000 23.357000 9.444000 # H HOH
18 6 1 0.000000 12.407000 22.344000 9.504000 # H HOH
19 7 2 0.000000 0.740000 7.150000 5.397000 # O HOH
20 7 1 0.000000 0.006000 6.593000 5.010000 # H HOH
21 7 1 0.000000 0.346000 7.926000 5.890000 # H HOH
22 8 2 0.000000 26.326000 21.032000 11.884000 # O HOH
23 8 1 0.000000 25.701000 20.254000 11.934000 # H HOH
24 8 1 0.000000 25.816000 21.854000 11.629000 # H HOH
25 9 2 0.000000 14.281000 11.809000 4.164000 # O HOH
26 9 1 0.000000 13.499000 11.250000 4.436000 # H HOH
27 9 1 0.000000 14.112000 12.205000 3.261000 # H HOH
28 10 2 0.000000 27.601999 7.793000 3.270000 # O HOH
29 10 1 0.000000 28.412001 7.310000 3.601000 # H HOH
30 10 1 0.000000 27.882000 8.633000 2.804000 # H HOH
31 11 2 0.000000 7.301000 17.559999 12.373000 # O HOH
32 11 1 0.000000 8.103000 17.132000 11.958000 # H HOH
33 11 1 0.000000 6.573000 16.881001 12.469000 # H HOH
34 12 2 0.000000 22.809000 13.411000 8.255000 # O HOH
35 12 1 0.000000 22.591999 14.292000 7.835000 # H HOH
36 12 1 0.000000 23.799000 13.337000 8.383000 # H HOH
37 13 2 0.000000 15.450000 19.511000 11.593000 # O HOH
38 13 1 0.000000 16.246000 20.107000 11.695000 # H HOH
39 13 1 0.000000 15.755000 18.570000 11.440000 # H HOH
40 14 2 0.000000 25.992001 4.102000 11.658000 # O HOH
41 14 1 0.000000 25.587999 3.188000 11.673000 # H HOH
42 14 1 0.000000 25.278999 4.780000 11.479000 # H HOH
43 15 2 0.000000 19.497999 9.747000 2.630000 # O HOH
44 15 1 0.000000 20.049000 9.123000 2.077000 # H HOH
45 15 1 0.000000 20.070999 10.499000 2.957000 # H HOH
46 16 2 0.000000 8.709000 3.418000 1.905000 # O HOH
47 16 1 0.000000 9.457000 2.758000 1.855000 # H HOH
48 16 1 0.000000 8.692000 3.969000 1.070000 # H HOH
49 17 2 0.000000 25.393000 21.603001 15.705000 # O HOH
50 17 1 0.000000 25.181999 20.816999 15.125000 # H HOH
51 17 1 0.000000 25.042000 21.441000 16.627001 # H HOH
52 18 2 0.000000 10.721000 24.561001 14.048000 # O HOH
53 18 1 0.000000 9.861000 24.132000 13.775000 # H HOH
54 18 1 0.000000 10.530000 25.420000 14.523000 # H HOH
55 19 2 0.000000 20.909000 27.604000 1.393000 # O HOH
56 19 1 0.000000 20.728001 28.410000 1.955000 # H HOH
57 19 1 0.000000 21.742001 27.750000 0.858000 # H HOH
58 20 2 0.000000 8.563000 22.247999 4.041000 # O HOH
59 20 1 0.000000 7.772000 22.405001 4.631000 # H HOH
60 20 1 0.000000 9.258000 21.733999 4.544000 # H HOH
61 21 2 0.000000 16.134001 8.204000 4.330000 # O HOH
62 21 1 0.000000 15.359000 8.692000 3.932000 # H HOH
